# Thermocouple data as taken from https://es.omega.com/temperature/pdf/Type_K_Thermocouple_Reference_Table.pdf
# The first and last columns are degrees Celcius readings
# Other columns are mV reading, in one degree steps.
# Note the last mV column is the same as the next row's first element (as each row +10 is the same as the 0th element in the next row)
# Covers -10 -> 60 degrees Celcius.
0 -0.392 -0.353 -0.314 -0.275 -0.236 -0.197 -0.157 -0.118 -0.079 -0.039 0.000 0
0 0.000 0.039 0.079 0.119 0.158 0.198 0.238 0.277 0.317 0.357 0.397 0
10 0.397 0.437 0.477 0.517 0.557 0.597 0.637 0.677 0.718 0.758 0.798 10
20 0.798 0.838 0.879 0.919 0.960 1.000 1.041 1.081 1.122 1.163 1.203 20
30 1.203 1.244 1.285 1.326 1.366 1.407 1.448 1.489 1.530 1.571 1.612 30
40 1.612 1.653 1.694 1.735 1.776 1.817 1.858 1.899 1.941 1.982 2.023 40
50 2.023 2.064 2.106 2.147 2.188 2.230 2.271 2.312 2.354 2.395 2.436 50
